"Position","Name","Type","Signal","Label"
"1","BOOT0","Boot","",""
"2","PF0-OSC_IN","Output","GPIO_Output",""
"3","PF1-OSC_OUT","Output","GPIO_Output",""
"4","NRST","Reset","",""
"5","VDDA","Power","",""
"6","PA0","Output","GPIO_Output",""
"7","PA1","Output","GPIO_Output",""
"8","PA2","Output","GPIO_Output",""
"9","PA3","Output","GPIO_Output",""
"10","PA4","Output","GPIO_Output",""
"11","PA5","Output","GPIO_Output",""
"12","PA6","I/O","TIM3_CH1",""
"13","PA7","I/O","TIM3_CH2",""
"14","PB1","Output","GPIO_Output",""
"15","VSS","Power","",""
"16","VDD","Power","",""
"17","PA9","Output","GPIO_Output",""
"18","PA10","Input","GPIO_Input",""
"19","PA13","Input","GPIO_Input",""
"20","PA14","Input","GPIO_Input",""
